! S-parameter export from FEKO
!   Filename:      SKALAoriginal_1antenna_SParameter1.s2p
!   Creation date: 2023-06-15 13:15:11
! 
! %Port labels%2
! %Port1
! %Port2
! 
# Hz S MA R  5.00000E+01
! 
!     FREQ          |S11|        <S11       |S21|        <S21       |S12|        <S12       |S22|        <S22
 5.0000000E+07  9.7808643E-01  -33.588  7.3623436E-04 -122.131  8.3820764E-04 -122.661  9.7836385E-01  -32.988
 5.1000000E+07  9.7128249E-01  -45.256  7.3632550E-04 -133.578  8.5582533E-04 -134.590  9.7176279E-01  -44.464
 5.2000000E+07  9.6184077E-01  -57.688  7.1028550E-04 -145.717  8.8002924E-04 -146.895  9.6261358E-01  -56.640
 5.3000000E+07  9.4862539E-01  -71.198  6.5374004E-04 -158.577  9.3303432E-04 -160.519  9.4982312E-01  -69.813
 5.4000000E+07  9.3010143E-01  -86.150  5.9162673E-04 -173.174  9.0468228E-04 -176.021  9.3185740E-01  -84.354
 5.5000000E+07  9.0442905E-01 -102.924  5.0432802E-04  170.606  9.3516181E-04  166.785  9.0679118E-01 -100.657
 5.6000000E+07  8.6971906E-01 -121.965  4.1319326E-04  151.329  9.7033396E-04  145.669  8.7255689E-01 -119.178
 5.7000000E+07  8.2520545E-01 -143.601  3.0918966E-04  129.586  9.7071779E-04  123.244  8.2794379E-01 -140.295
 5.8000000E+07  7.7273192E-01 -167.971  1.6097785E-04   99.345  9.0986282E-04   95.955  7.7414811E-01 -164.258
 5.9000000E+07  7.1817359E-01  165.276  1.4417803E-04   49.699  9.8613732E-04   67.861  7.1671191E-01  169.121
 6.0000000E+07  6.6991076E-01  137.033  1.6685222E-04    1.477  9.6184756E-04   37.816  6.6464708E-01  140.597
 6.1000000E+07  6.3432393E-01  108.763  2.2989475E-04  -37.211  9.8091169E-04    9.342  6.2588864E-01  111.666
 6.2000000E+07  6.1226047E-01   81.813  3.0885093E-04  -54.675  9.4346369E-04  -18.757  6.0266901E-01   83.870
 6.3000000E+07  5.9972303E-01   57.044  3.9549520E-04  -68.515  9.9152880E-04  -40.087  5.9114868E-01   58.306
 6.4000000E+07  5.9128605E-01   34.570  4.6454131E-04  -86.644  9.6469340E-04  -61.693  5.8512540E-01   35.258
 6.5000000E+07  5.8258345E-01   14.052  5.5605845E-04  -96.784  1.0113155E-03  -78.786  5.7959029E-01   14.419
 6.6000000E+07  5.7079032E-01   -5.057  6.1470041E-04 -108.515  1.0187545E-03  -94.866  5.7121612E-01   -4.774
 6.7000000E+07  5.5445345E-01  -23.338  6.6018445E-04 -120.552  1.0304728E-03 -109.692  5.5831383E-01  -22.932
 6.8000000E+07  5.3303105E-01  -41.325  7.0005975E-04 -130.476  1.0176783E-03 -122.114  5.4012674E-01  -40.601
 6.9000000E+07  5.0679906E-01  -59.515  7.0618826E-04 -142.281  1.0096027E-03 -135.605  5.1672845E-01  -58.288
 7.0000000E+07  4.7686765E-01  -78.356  6.8722591E-04 -151.025  9.6407713E-04 -146.194  4.8888199E-01  -76.439
 7.1000000E+07  4.4524440E-01  -98.243  6.8648507E-04 -162.425  9.6240107E-04 -158.892  4.5813110E-01  -95.475
 7.2000000E+07  4.1493484E-01 -119.470  6.5661488E-04 -171.417  8.9720571E-04 -168.072  4.2702581E-01 -115.727
 7.3000000E+07  3.8977231E-01 -142.075  6.1208779E-04 -177.979  8.7262099E-04  179.539  3.9890207E-01 -137.376
 7.4000000E+07  3.7338104E-01 -165.675  5.6380908E-04  173.318  8.0036631E-04  168.128  3.7759520E-01 -160.260
 7.5000000E+07  3.6780258E-01  170.508  5.0756815E-04  164.970  7.2200232E-04  158.958  3.6594551E-01  176.139
 7.6000000E+07  3.7257554E-01  147.540  4.5081824E-04  162.160  6.4181127E-04  150.635  3.6496983E-01  152.796
 7.7000000E+07  3.8492814E-01  126.148  3.9383940E-04  158.663  5.6145718E-04  143.830  3.7302922E-01  130.641
 7.8000000E+07  4.0118777E-01  106.646  3.4703185E-04  162.765  4.5890604E-04  138.802  3.8691238E-01  110.196
 7.9000000E+07  4.1774890E-01   88.992  2.5455724E-04  160.311  3.4972719E-04  127.539  4.0292196E-01   91.623
 8.0000000E+07  4.3211678E-01   72.904  2.5411945E-04  179.583  2.4358265E-04  135.534  4.1812609E-01   74.718
 8.1000000E+07  4.4250571E-01   58.067  2.8207698E-04 -166.423  1.8149552E-04  158.863  4.3032117E-01   59.206
 8.2000000E+07  4.4772731E-01   44.201  3.4702477E-04 -156.343  1.9652589E-04 -164.487  4.3808216E-01   44.800
 8.3000000E+07  4.4720587E-01   31.014  4.5490162E-04 -156.136  3.1441502E-04 -153.456  4.4053358E-01   31.200
 8.4000000E+07  4.4048848E-01   18.266  5.5712370E-04 -161.881  4.4910001E-04 -156.264  4.3715572E-01   18.163
 8.5000000E+07  4.2737586E-01    5.732  6.9401821E-04 -168.760  6.1911490E-04 -162.926  4.2767328E-01    5.444
 8.6000000E+07  4.0776095E-01   -6.784  8.1100461E-04 -177.779  7.7394896E-04 -172.217  4.1191976E-01   -7.144
 8.7000000E+07  3.8165349E-01  -19.502  9.2807773E-04  171.523  9.4078823E-04  177.772  3.8988534E-01  -19.814
 8.8000000E+07  3.4941347E-01  -32.650  1.0302001E-03  159.720  1.0930989E-03  166.140  3.6179683E-01  -32.768
