name,ra_deg,dec_deg,s_197
3C_009,5.1055,15.68131,11.9624405
PKS_0021-29,6.1255,-29.48025,12.900857
PKS_0032-20,8.78667,-20.06644,10.344514
PKS_0039-44,10.538275,-44.233799,15.310819
PKS_0125-14,21.876,-14.04919,11.267767
PKS_0157-31,30.05062,-30.89069,14.781009
3C_071,40.66967,-0.01325,15.364641
PKS_0410-75,62.20196,-75.12222,51.661297
PKS_0411-56,63.20008,-56.01356,10.113478
PKS_0427-36,67.41758,-36.51556,13.668642
PKS_0508-18,77.63512,-18.64514,12.734914
3C_190,120.38967,14.24506,13.369677
3C_191,121.19987,10.25633,11.287316
PKS_0825-20,126.82212,-20.43969,14.944082
PKS_0842-75,130.35912,-75.67531,19.12784
PKS_0859-25,135.44837,-25.92206,25.852318
3C_222,144.13342,4.36967,9.604154
3C_226,146.06833,9.772,13.143576
3C_245,160.68558,12.05883,10.048723
PKS_1103-20,166.59242,-21.15022,11.208488
3C_273,187.27671,2.05142,73.872574
PKS_1306-09,197.16317,-9.84211,9.634664
3C_283,197.913957,-22.278363,34.92574
PKS_1335-06,204.53362,-6.45311,13.763032
PKS_1425-01,217.13008,-1.40242,10.743292
PKS_1540-73,236.53162,-73.180498,9.958493
3C_346,250.95287,17.26356,10.360256
PKS_1859-23,285.7055,-23.49794,18.776583
3C_404,299.04633,-7.61519,9.950371
3C_411,305.53562,10.01969,14.307391
3C_424,312.05021,7.02111,11.721829
PKS_2113-21,319.15125,-20.93108,13.03031
PKS_2115-30,319.54454,-30.32086,9.86268
PKS_2120-16,320.75708,-16.46561,9.840473
3C_446,336.447,-4.95053,15.077502
PKS_2226-38,337.44525,-38.39944,10.988103
PKS_2259-37,345.59979,-37.30181,9.667553
PKS_2322-12,351.33258,-12.12461,11.884002
