name,ra_deg,dec_deg,s_197
J0034-0721,8.537083333333332,-7.363694444444444,692
J0152-1637,28.044999999999995,-16.631666666666668,131
J0206-4028,31.504999999999995,-40.467555555555556,1289
J0255-5304,43.98459592541666,-53.07256988611111,67
J0437-4715,69.31666666666666,-47.25277777777778,1179
J0450-1248,72.53666666666665,-12.801972222222222,131
J0452-1759,73.14208333333333,-17.98988888888889,186
J0459-0210,74.96642083333332,-2.1685,68
J0534+2200,83.63291666666665,22.01447222222222,6450
J0601-0527,90.49570611791665,-5.464168319444445,72
J0630-2834,97.70541666666665,-28.5785,1353
J0742-2822,115.70374999999999,-28.378972222222224,362
J0820-1350,125.11,-13.849027777777778,411
J0835-4510,126.71458333333332,26.622555555555557,1121
J0826+2637,128.8358333333333,-45.17633333333333,194
J0837-4135,129.2733333333333,6.171111111111111,144
J0837+0610,129.3383333333333,-41.58738888888889,138
J0855-3331,133.9083333333333,-33.52758333333333,76
J0856-6137,134.2458333333333,-61.63138888888889,93
J0908-1739,137.1583333333333,-17.660463888888888,62
J0922+0638,140.55833333333334,6.640416666666666,184
J0953+0755,148.28875,7.926833333333334,775
J1057-5226,164.4958333333333,-52.44902777777777,287
J1116-4122,169.17952321958333,-41.379099733333334,54
J1136+1551,174.01249999999996,15.854833333333334,318
J1355-5153,208.99416666666662,-51.89830555555555,146
J1430-6623,217.6695833333333,-66.3848888888889,112
J1453-6413,223.3858333333333,-64.22116666666666,590
J1455-3330,223.9499033208333,-33.51289083333333,58
J1456-6843,223.99916666666664,-68.72763888888889,433
J1507-4352,226.89208333333332,-43.86775,125
J1543-0620,235.87541666666664,-6.345888888888888,270
J1534-5334,233.53446161416662,-53.57211485555556,95
J1543+0929,235.91169724124998,9.487939919444443,426
J1607-0032,241.80018312916664,-0.5449469055555556,270
J1645-0317,251.25833333333327,-3.29925,2224
J1709-1640,257.36006515833327,-16.682986041666666,271
J1731-4744,262.9261500204166,-47.744113455555556,424
J1751-4657,267.92581527,-46.95757893611111,411
J1752-2806,268.2445833333333,-28.11041666666667,2441
J1820-0427,275.2191255870833,-4.460406616666667,946
J1823-3106,275.94495125,-31.113819444444445,105
J1825-0935,276.3773374025,-9.589781422222222,612
J1834-0426,278.60667499999994,-4.437733333333334,341
J1900-2600,285.19791666666663,-26.013805555555557,393
J1913-0440,288.4754166666666,-4.679972222222222,445
J1921+2153,293.9492745833333,16.277773888888888,2112
J1932+1059,290.43666666666667,21.883944444444445,362
J1935+1616,293.05857083333336,10.992605555555555,106
J2018+2839,304.5158333333333,28.665055555555554,561
J2048-1616,312.14850265416663,-16.27904263888889,116
J2145-0750,326.46,-7.838472222222222,61
J2155-3118,328.8066666666667,-31.315194444444444,223
J2219+4754,334.95041666666657,47.91497222222222,871
J2330-2005,352.6125625841666,-20.091739508333333,87
